fund_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster_kmeans,cluster_hac,name,beta_Mkt_RF_5y,rsquared_5y,vol_ann_5y
63351,3.66902890256358,2.8387949045481813,-2.2398790652079614,-4.1361315221260595,0.016565950578831118,0.07539975501265811,2.978047965062819,0,1,"INVESTEC GLOBAL NAT RESOURCES ""I"" (EUR)",0.779732123989386,0.30131229058277376,22.552680250001362
63407,2.934242396251045,2.0178214084943606,-2.2062604375780097,0.35473135615638784,0.3995264973890701,-0.5977169658593835,-0.04358935724824231,0,1,"FIDELITY EMERGING ASIA ""Y"" (USD)",0.8677879905430046,0.5302136124570592,16.26468306441991
63525,-4.554678790755416,-2.7452511109284248,-0.9104568271649657,0.6783965039227595,-1.855395118043489,-1.4714213634399635,0.037527791330563665,1,0,PIMCO EM SHORT-T LCAL CURR 'E' (USD) ACC,0.2952494094148103,0.32753546015049506,6.265022501644285
63554,3.7578879224694366,-0.464519381223808,-1.5989119439172115,3.0213698720877957,1.6384503853113432,-0.5749870064731419,-1.1023307099592805,0,1,"ALLIANZ LITTLE DRAGONS ""CT2"" (EUR) ACC",0.8064295532051098,0.4607270981719749,14.543475527751836
63867,-2.429998784161768,1.7187148406475967,2.474994825963871,2.2061049613630126,-0.8427400786255116,-3.4999472349694853,-0.26248039060019024,1,0,"JPM GLB CONV (EUR) ""A"" (CHFHDG)",0.42542613033551313,0.3313407844768549,9.790180720010685
64220,2.0109855261943816,0.8400868726417535,0.031772739670457815,-1.2099631770075563,-0.7389270855320492,-1.3480804519164942,-1.6057937950679952,0,1,"NORDEA 1 EMERGING WEA ""BI"" (EUR)",0.8142780281708155,0.45278645917207383,16.164964540855493
64272,-2.7161946762178877,7.527094029631732,0.8520215748169717,-1.1135562142485602,1.5023211986070706,2.3317508797822963,-1.3435005038710124,0,1,"VONTOBEL CLEAN TECHNOLOGY ""A"" (EUR) INC",0.52738259764057,0.3203723955531276,16.473459159617075
64273,-2.7082328699851095,7.547984661085461,0.8449358837411494,-1.0869929207108537,1.5069110429598018,2.3414429390616687,-1.3382966676454644,0,1,"VONTOBEL CLEAN TECHNOLOGY ""B"" ACC",0.5268134412057992,0.32026707669849486,16.464918445881697
64274,-2.656135980341708,7.790101852073222,1.150822299668546,-0.8426201059641375,1.4453246704518565,2.561916401611941,-1.3074141580880856,0,1,"VONTOBEL CLEAN TECHNOLOGY ""I"" (EUR) ACC",0.5268446539950702,0.32027755566725413,16.46629879832725
64277,1.7641397540526342,6.2599247792908095,-1.6774964913768227,-3.983703924038207,3.138927148047855,-0.5490208604648725,0.11575741735555378,0,1,"VONTOBEL FUTURE RESOURCES ""B"" ACC",0.7429320981905858,0.32601762414421565,20.494136590586606
64279,1.7505604794228602,6.1110835447431056,-1.8551675815103104,-4.137151723778944,3.1763633963798346,-0.6876039184652105,0.09792519070615413,0,1,"VONTOBEL FUTURE RESOURCES ""C"" ACC",0.7430950770705236,0.3260424777693929,20.4926379181409
64451,-4.841957599884971,-4.0377684879520634,-2.713582536773637,0.8899325606307532,-0.7475180151099463,-0.07470543174846095,0.8230215001267602,1,0,"FIDELITY FD-GBL MA TAC DEF FD""A""(EURHDG)",0.25212686203175827,0.45059895394294114,4.510523808122628
