rebalance_date,rank,symbol,score,weight
2016-09-30,1,NVDA,3.9483697044784503,0.05
2016-09-30,2,NEM,2.568232183492219,0.05
2016-09-30,3,OKE,2.3901983373646485,0.05
2016-09-30,4,AMAT,2.373387870326284,0.05
2016-09-30,5,DVN,1.987158744123263,0.05
2016-09-30,6,SWN-202409,1.7543864802591065,0.05
2016-09-30,7,GEN,1.7485883188325575,0.05
2016-09-30,8,CHKAQ-202102,1.6626647990757695,0.05
2016-09-30,9,PXD-202405,1.5210243600340725,0.05
2016-09-30,10,XYL,1.4761591156154052,0.05
2016-09-30,11,NFX-201902,1.4677855286654122,0.05
2016-09-30,12,MCHP,1.4491389727157795,0.05
2016-09-30,13,EW,1.4377446495551731,0.05
2016-09-30,14,AMZN,1.3874262348931676,0.05
2016-09-30,15,TSN,1.294047474003678,0.05
2016-09-30,16,BSX,1.2845275879602682,0.05
2016-09-30,17,LLTC-201703,1.2732275320799764,0.05
2016-09-30,18,URI,1.2523674396859918,0.05
2016-09-30,19,XEC-202109,1.2400473526557831,0.05
2016-09-30,20,CTAS,1.234254777421989,0.05
2016-10-31,1,NVDA,4.3368669823343104,0.05
2016-10-31,2,NEM,3.086938268262947,0.05
2016-10-31,3,OKE,2.818296623687992,0.05
2016-10-31,4,AMAT,2.5812328919717267,0.05
2016-10-31,5,SE-201702,2.0749088388256585,0.05
2016-10-31,6,AMZN,1.90863976459064,0.05
2016-10-31,7,EW,1.8916649487121258,0.05
2016-10-31,8,GEN,1.8279991860191316,0.05
2016-10-31,9,MU,1.7401077721283742,0.05
2016-10-31,10,APA,1.7313363763663672,0.05
2016-10-31,11,WMB,1.6299131472263566,0.05
2016-10-31,12,DVN,1.6199605282761482,0.05
2016-10-31,13,XYL,1.5827834952184257,0.05
2016-10-31,14,SWN-202409,1.562171095541015,0.05
2016-10-31,15,LLTC-201703,1.552641318586312,0.05
2016-10-31,16,PXD-202405,1.5090150987561226,0.05
2016-10-31,17,ADSK,1.4748590022616854,0.05
2016-10-31,18,STJ-201701,1.4324579354676987,0.05
2016-10-31,19,MCHP,1.406790967886884,0.05
2016-10-31,20,SPGI,1.3508486958093666,0.05
2016-11-30,1,NVDA,4.95684607195824,0.05
2016-11-30,2,AMAT,2.7036687465761213,0.05
2016-11-30,3,GEN,2.5730299662469953,0.05
2016-11-30,4,SE-201702,2.1780095391018683,0.05
2016-11-30,5,OKE,2.175836641647835,0.05
2016-11-30,6,LLTC-201703,1.902852878553475,0.05
2016-11-30,7,NEM,1.7453240843862823,0.05
2016-11-30,8,STX,1.7421916700380298,0.05
2016-11-30,9,MU,1.741271618375096,0.05
2016-11-30,10,QCOM,1.5731441999782065,0.05
2016-11-30,11,PWR,1.5105747691348672,0.05
2016-11-30,12,FFIV,1.4994485239836768,0.05
2016-11-30,13,NFLX,1.472651287702392,0.05
2016-11-30,14,LRCX,1.4318386187746457,0.05
2016-11-30,15,MCHP,1.4065067613335267,0.05
2016-11-30,16,AKAM,1.3811602668309568,0.05
2016-11-30,17,TSN,1.3801490955303077,0.05
2016-11-30,18,NTAP,1.3541520029841023,0.05
2016-11-30,19,GRMN,1.3486932399225227,0.05
2016-11-30,20,AVGO,1.3386751862055264,0.05
2016-12-31,1,NVDA,4.633981371166752,0.05
2016-12-31,2,FCX,2.2973048290698106,0.05
